date,equity
2025-06-05,4254.468427949625
2025-06-06,4150.416712792806
2025-06-07,4105.1164568583645
2025-06-08,4098.5346967269015
2025-06-09,3920.434764139211
2025-06-10,3919.1886791280517
2025-06-11,3866.10318676243
2025-06-12,3762.16092198667
2025-06-13,3756.6873975398285
2025-06-14,3777.597977593056
2025-06-15,3764.1799185665477
2025-06-16,3721.928556417516
2025-06-17,3785.72663643955
2025-06-18,3776.004829544238
2025-06-19,3782.861471414289
2025-06-20,3819.4262377436644
2025-06-21,3856.452853947184
2025-06-22,3901.1533360864246
2025-06-23,3739.6095644497104
2025-06-24,3723.1456538909533
2025-06-25,3676.84898124468
2025-06-26,3680.070738557479
2025-06-27,3684.2724470493554
2025-06-28,3692.100522113574
2025-06-29,3726.7097283766957
2025-06-30,3675.3055623968235
2025-07-01,3722.2294766977852
2025-07-02,3619.0125794140886
2025-07-03,3593.260714429536
2025-07-04,3645.9506607890416
2025-07-05,3639.523153655163
2025-07-06,3606.8412339476804
2025-07-07,3637.280822026857
2025-07-08,3616.0427017330035
2025-07-09,3538.4503743846526
2025-07-10,3386.2669747058135
2025-07-11,3336.3150198555923
2025-07-12,3338.9848995850402
2025-07-13,3284.0990498516494
2025-07-14,3260.145386874825
2025-07-15,3327.818904397034
2025-07-16,3296.429067704042
2025-07-17,3278.4263845025444
2025-07-18,3320.438087445752
2025-07-19,3322.503379466544
2025-07-20,3343.37466553042
2025-07-21,3338.8440842199866
2025-07-22,3255.387511197973
2025-07-23,3295.891826474325
2025-07-24,3308.527199384634
2025-07-25,3321.9279705661243
2025-07-26,3313.555630067552
2025-07-27,3273.207122599338
2025-07-28,3314.1709036482093
2025-07-29,3304.762259481445
2025-07-30,3302.338299267589
2025-07-31,3247.0966561287864
2025-08-01,3182.1248207272506
2025-08-02,3160.988087525156
2025-08-03,3206.0440179212874
2025-08-04,3228.807342306999
2025-08-05,3204.012704702478
2025-08-06,3227.637937126098
2025-08-07,3293.430042496078
2025-08-08,3271.8935838271277
2025-08-09,3266.8739063628755
2025-08-10,3332.13814985945
2025-08-11,3316.8594118013407
2025-08-12,3355.140700813937
2025-08-13,3439.3580012986067
2025-08-14,3306.983628900364
2025-08-15,3281.4560610777726
2025-08-16,3283.925888587872
2025-08-17,3282.9090350405772
2025-08-18,3251.020375010985
2025-08-19,3151.1735580205873
2025-08-20,3103.812719963084
2025-08-21,3055.88560288575
2025-08-22,3161.9078937152613
2025-08-23,3123.326506357742
2025-08-24,3074.039868782814
2025-08-25,2988.2704475144337
2025-08-26,3031.444967235349
2025-08-27,3016.509147478714
2025-08-28,3050.536793999189
2025-08-29,2944.1901236646204
2025-08-30,2954.409009117899
2025-08-31,2939.710744382422
2025-09-01,2965.792959256161
2025-09-02,3015.956661223924
2025-09-03,3029.401230340128
2025-09-04,3003.6862007655895
2025-09-05,3001.818117921546
2025-09-06,2990.8517983534753
2025-09-07,3015.108537544326
2025-09-08,3029.713275882888
2025-09-09,3007.218242355652
2025-09-10,2944.9868527320573
2025-09-11,2905.1510720691645
2025-09-12,2889.9054081879067
2025-09-13,2893.782539090913
2025-09-14,2907.714505828017
2025-09-15,2906.7593084539712
2025-09-16,2870.8724388493965
2025-09-17,2880.488373119308
2025-09-18,2863.3267003995993
2025-09-19,2900.497592670712
2025-09-20,2899.6480604973635
2025-09-21,2910.3210477807024
2025-09-22,2975.9599897493654
2025-09-23,2986.2221018024393
2025-09-24,2952.8758257348923
2025-09-25,3061.4646812280907
2025-09-26,3044.627298773852
2025-09-27,3045.410953805955
2025-09-28,2983.478020609834
2025-09-29,2925.68004229851
2025-09-30,2934.4166163599266
2025-10-01,2809.3466966688907
2025-10-02,2855.104067306088
2025-10-03,2890.796111001538
2025-10-04,2894.3736704560965
2025-10-05,2918.870779715961
2025-10-06,2946.7677929385154
2025-10-07,2872.4432433124093
2025-10-08,2915.2997284328862
2025-10-09,2878.1665644949862
2025-10-10,2686.9888512478833
2025-10-11,2625.3194285574714
2025-10-12,2526.953270260537
2025-10-13,2517.1752776729104
2025-10-14,2561.913543381869
2025-10-15,2610.4572791730743
2025-10-16,2664.438931845621
2025-10-17,2700.1530290510323
2025-10-18,2684.9699585086782
2025-10-19,2654.44809112532
2025-10-20,2614.494471286784
2025-10-21,2658.3935362539023
2025-10-22,2674.778573493452
2025-10-23,2625.2861901144306
2025-10-24,2605.2452384975954
2025-10-25,2585.441129963142
2025-10-26,2647.7759271430123
2025-10-27,2639.9999909912704
2025-10-28,2606.936738566012
2025-10-29,2543.2758123427493
2025-10-30,2504.8764318108542
2025-10-31,2532.3219016578655
2025-11-01,2543.46697857242
2025-11-02,2556.0990372896035
2025-11-03,2459.2794021562945
2025-11-04,2568.1833573643153
2025-11-05,2517.6241414232904
2025-11-06,2574.537758699724
2025-11-07,2529.035871788676
2025-11-08,2552.9892289051368
2025-11-09,2499.437495345322
2025-11-10,2471.383179039544
2025-11-11,2537.273147702698
2025-11-12,2566.586947477744
2025-11-13,2609.7727441824277
2025-11-14,2726.2057947656044
2025-11-15,2700.9107393281756
2025-11-16,2731.054754630729
2025-11-17,2776.8221663342206
2025-11-18,2758.0380465636217
2025-11-19,2790.616582652233
2025-11-20,2896.82032064323
2025-11-21,2930.680309931834
2025-11-22,2940.398139730553
2025-11-23,2893.0171542883604
2025-11-24,2860.819312439983
2025-11-25,2881.2219834664
2025-11-26,2811.435648731313
2025-11-27,2794.5846936260673
2025-11-28,2802.6280180110252
2025-11-29,2804.1111464735413
2025-11-30,2814.1610968109667
2025-12-01,2903.638145986137
2025-12-02,2793.160437176356
2025-12-03,2738.3288835744193
2025-12-04,2699.737520590343
2025-12-05,2623.0696187294975
2025-12-06,2619.857351200645
2025-12-07,2651.4075647019163
2025-12-08,2657.937805089638
2025-12-09,2715.0519609027565
2025-12-10,2696.3777876010968
2025-12-11,2710.030305224908
2025-12-12,2640.106248504835
2025-12-13,2639.3185234339558
2025-12-14,2698.4331360694905
2025-12-15,2739.7807856686672
2025-12-16,2782.7146824025617
2025-12-17,2731.4598084472755
2025-12-18,2710.9229084527856
2025-12-19,2790.534483899317
2025-12-20,2797.788107556775
2025-12-21,2806.1611335728767
2025-12-22,2802.1898811909145
2025-12-23,2769.752412885397
2025-12-24,2775.720125144117
2025-12-25,2764.3485233168926
2025-12-26,2766.358878573234
2025-12-27,2781.4537355840926
2025-12-28,2774.5398268837635
2025-12-29,2753.5837130138984
2025-12-30,2792.3902449127722
2025-12-31,2764.7177557987075
2026-01-01,2801.456717916411
2026-01-02,2837.881942569874
2026-01-03,2857.6605436532323
2026-01-04,2881.9990148974907
2026-01-05,2956.160262615223
2026-01-06,2951.549002398475
2026-01-07,2878.8320733736377
2026-01-08,2870.394013929637
2026-01-09,2854.954704685275
2026-01-10,2851.1565337083125
2026-01-11,2864.3968648095192
2026-01-12,2875.3760334534163
2026-01-13,2999.389155210491
2026-01-14,3047.6737498753655
2026-01-15,3006.2796465343217
2026-01-16,3005.496593491561
2026-01-17,2992.725343311085
